Wall time,Step,Value
,1,0.4777
,51,0.8474
,101,0.8748
,151,0.8628
,201,0.8822
,251,0.881
,301,0.8861
,351,0.8683
,401,0.857
,451,0.8452
,501,0.8503
,551,0.8499
,601,0.8542
,651,0.8691
,701,0.863
,751,0.8667
,801,0.8699
,851,0.8768
,901,0.8717
,951,0.8795
,1001,0.8768
,1051,0.881
,1101,0.8743
,1151,0.873
,1201,0.8781
,1251,0.873
,1301,0.871
,1351,0.8646
,1401,0.8564
,1451,0.8473
,1501,0.8359
,1551,0.8276
,1601,0.8219
,1651,0.8136
,1701,0.8071
,1751,0.7978
,1801,0.788
,1851,0.783
,1901,0.779
,1951,0.7708
,2001,0.7648
,2051,0.7605
,2101,0.7566
,2151,0.751
,2201,0.7457
,2251,0.7407
,2301,0.7359
,2351,0.7295
,2401,0.7255
,2451,0.7209
,2501,0.7133
,2551,0.7083
,2601,0.7032
,2651,0.6982
,2701,0.6939
,2751,0.6907
,2801,0.6852
,2851,0.6815
,2901,0.677
,2951,0.6737
,3001,0.6683
,3051,0.664
,3101,0.6615
,3151,0.6576
,3201,0.6541
,3251,0.6502
,3301,0.6458
,3351,0.6418
,3401,0.6383
,3451,0.6344
,3501,0.6302
,3551,0.6274
,3601,0.6243
,3651,0.6214
,3701,0.62
,3751,0.6163
,3801,0.6128
,3851,0.6102
,3901,0.6073
,3951,0.6037
,4001,0.6011
,4051,0.5974
,4101,0.5943
,4151,0.5926
,4201,0.5899
,4251,0.5868
,4301,0.5841
,4351,0.5813
,4401,0.5783
,4451,0.5763
,4501,0.5762
,4551,0.5737
,4601,0.5716
,4651,0.5696
,4701,0.5679
,4751,0.5661
,4801,0.5642
,4851,0.5617
,4901,0.5597
,4911,0.3456
,4961,0.3133
,5011,0.3445
,5061,0.3479
,5111,0.3435
,5161,0.342
,5211,0.3406
,5261,0.3484
,5311,0.3495
,5361,0.3499
,5411,0.3517
,5461,0.3478
,5511,0.3522
,5561,0.3557
,5611,0.3641
,5661,0.3621
,5711,0.3633
,5761,0.3635
,5811,0.3618
,5861,0.3596
,5911,0.3558
,5961,0.3574
,6011,0.3579
,6061,0.3559
,6111,0.3527
,6161,0.3526
,6211,0.3528
,6261,0.3526
,6311,0.3524
,6361,0.3541
,6411,0.3532
,6461,0.3548
,6511,0.3513
,6561,0.3508
,6611,0.351
,6661,0.3498
,6711,0.3498
,6761,0.3489
,6811,0.3499
,6861,0.3523
,6911,0.3533
,6961,0.3521
,7011,0.3499
,7061,0.3493
,7111,0.3497
,7161,0.3495
,7211,0.3485
,7261,0.3475
,7311,0.3477
,7361,0.3468
,7411,0.3478
,7461,0.3517
,7511,0.3499
,7561,0.3497
,7611,0.349
,7661,0.3481
,7711,0.3473
,7761,0.3459
,7811,0.3456
,7861,0.345
,7911,0.3443
,7961,0.3448
,8011,0.3441
,8061,0.3429
,8111,0.3424
,8161,0.342
,8211,0.3413
,8261,0.3413
,8311,0.3409
,8361,0.3399
,8411,0.339
,8461,0.3398
,8511,0.3387
,8561,0.3384
,8611,0.3387
,8661,0.338
,8711,0.3371
,8761,0.336
,8811,0.3352
,8861,0.3343
,8911,0.3333
,8961,0.3329
,9011,0.3336
,9061,0.3324
,9111,0.3318
,9161,0.3312
,9211,0.3315
,9261,0.3315
,9311,0.3316
,9361,0.3308
,9411,0.3302
,9461,0.33
,9511,0.3294
,9561,0.3288
,9611,0.3284
,9661,0.3293
,9711,0.329
,9761,0.3288
,9811,0.3289
,9821,0.1527
,9871,0.3305
,9921,0.2994
,9971,0.2946
,10021,0.2839
,10071,0.275
,10121,0.2689
,10171,0.2646
,10221,0.2694
,10271,0.2677
,10321,0.2701
,10371,0.2691
,10421,0.2714
,10471,0.2684
,10521,0.2707
,10571,0.2676
,10621,0.2673
,10671,0.2682
,10721,0.2685
,10771,0.2677
,10821,0.2704
,10871,0.2696
,10921,0.268
,10971,0.2704
,11021,0.2701
,11071,0.2714
,11121,0.2701
,11171,0.27
,11221,0.2693
,11271,0.2739
,11321,0.275
,11371,0.2746
,11421,0.2738
,11471,0.273
,11521,0.2744
,11571,0.2765
,11621,0.2772
,11671,0.2767
,11721,0.2782
,11771,0.2812
,11821,0.2807
,11871,0.2807
,11921,0.2815
,11971,0.2821
,12021,0.2847
,12071,0.2845
,12121,0.2852
,12171,0.2853
,12221,0.2846
,12271,0.2831
,12321,0.2821
,12371,0.2813
,12421,0.2814
,12471,0.2803
,12521,0.2795
,12571,0.2792
,12621,0.2787
,12671,0.2808
,12721,0.2808
,12771,0.2803
,12821,0.279
,12871,0.2788
,12921,0.2778
,12971,0.2789
,13021,0.2797
,13071,0.2794
,13121,0.2786
,13171,0.2785
,13221,0.2781
,13271,0.2778
,13321,0.2772
,13371,0.2766
,13421,0.2777
,13471,0.2787
,13521,0.2794
,13571,0.2803
,13621,0.2824
,13671,0.2825
,13721,0.2821
,13771,0.282
,13821,0.282
,13871,0.2817
,13921,0.2815
,13971,0.2815
,14021,0.2812
,14071,0.2812
,14121,0.2805
,14171,0.2796
,14221,0.2801
,14271,0.2792
,14321,0.28
,14371,0.2797
,14421,0.2793
,14471,0.2791
,14521,0.2784
,14571,0.2781
,14621,0.2784
,14671,0.2779
,14721,0.2783
,14731,0.2128
,14781,0.2962
,14831,0.2724
,14881,0.2568
,14931,0.254
,14981,0.2512
,15031,0.2606
,15081,0.2591
,15131,0.2546
,15181,0.2618
,15231,0.2568
,15281,0.2604
,15331,0.2647
,15381,0.2681
,15431,0.2679
,15481,0.2686
,15531,0.2676
,15581,0.2636
,15631,0.2613
,15681,0.2597
,15731,0.2594
,15781,0.2581
,15831,0.2584
,15881,0.2588
,15931,0.2597
,15981,0.2615
,16031,0.2637
,16081,0.2638
,16131,0.2639
,16181,0.2633
,16231,0.2657
,16281,0.2664
,16331,0.2688
,16381,0.2688
,16431,0.2672
,16481,0.2677
,16531,0.2688
,16581,0.2678
,16631,0.2671
,16681,0.2669
,16731,0.267
,16781,0.2663
,16831,0.267
,16881,0.2663
,16931,0.2666
,16981,0.2661
,17031,0.2655
,17081,0.2648
,17131,0.2637
,17181,0.265
,17231,0.2649
,17281,0.2646
,17331,0.2641
,17381,0.2644
,17431,0.2634
,17481,0.2626
,17531,0.2619
,17581,0.2627
,17631,0.2643
,17681,0.2651
,17731,0.2646
,17781,0.2641
,17831,0.2628
,17881,0.2618
,17931,0.2624
,17981,0.2615
,18031,0.261
,18081,0.2612
,18131,0.2615
,18181,0.2607
,18231,0.2602
,18281,0.2597
,18331,0.2598
