Step,Value
20339,0.3799
20389,0.3815
20439,0.3962
20489,0.3951
20539,0.3947
20589,0.3967
20639,0.3995
20689,0.3988
20739,0.3976
20789,0.3945
20839,0.3945
20889,0.3941
20939,0.3904
20989,0.3902
21039,0.3914
21089,0.3916
21139,0.3898
21189,0.3913
21239,0.3897
21289,0.388
21339,0.3875
21389,0.3867
21439,0.3866
21489,0.3851
21539,0.3844
21589,0.3859
21639,0.388
21689,0.3879
21739,0.387
21789,0.3854
21839,0.3877
21889,0.3875
21939,0.3879
21989,0.3891
22039,0.3883
22089,0.3885
22139,0.3884
22189,0.3868
22239,0.3893
22289,0.3885
22339,0.3875
22389,0.3883
22439,0.3906
22489,0.3919
22539,0.3916
22589,0.3915
22639,0.3908
22689,0.3909
22739,0.3927
22789,0.3919
22839,0.3908
22889,0.3902
22939,0.3898
22989,0.3902
23039,0.3899
23089,0.3901
23139,0.3901
23189,0.3902
23239,0.3903
23289,0.3893
23339,0.3889
23389,0.3885
23439,0.388
23489,0.3874
23539,0.3869
23589,0.3871
23639,0.3874
23689,0.3889
23739,0.3889
23789,0.3892
23839,0.3904
23889,0.3899
23939,0.3899
23989,0.3898
24039,0.39
24089,0.3899
24139,0.3901
24189,0.3895
24239,0.3888
24289,0.389
24339,0.3898
24389,0.3905
24439,0.3908
24486,0.1729
24536,0.323
24586,0.3176
24636,0.3226
24686,0.3225
24736,0.3444
24786,0.3464
24836,0.3439
24886,0.3474
24936,0.3449
24986,0.3507
25036,0.355
25086,0.3602
25136,0.3576
25186,0.3625
25236,0.3659
25286,0.368
25336,0.3654
25386,0.3632
25436,0.3627
25486,0.3656
25536,0.3686
25586,0.3694
25636,0.3733
25686,0.3735
25736,0.3733
25786,0.3742
25836,0.3738
25886,0.375
25936,0.3752
25986,0.3794
26036,0.3791
26086,0.3776
26136,0.3801
26186,0.3808
26236,0.3829
26286,0.3807
26336,0.3798
26386,0.3787
26436,0.379
26486,0.3784
26536,0.3777
26586,0.3753
26636,0.3752
26686,0.3742
26736,0.3725
26786,0.3727
26836,0.3736
26886,0.3764
26936,0.3765
26986,0.375
27036,0.3755
27086,0.3768
27136,0.3772
27186,0.376
27236,0.3778
27286,0.3784
27336,0.3783
27386,0.38
27436,0.3805
27486,0.3799
27536,0.3793
27586,0.3798
27636,0.38
27686,0.3791
27736,0.3789
27786,0.3801
27836,0.3796
27886,0.3807
27936,0.3815
27986,0.3815
28036,0.381
28086,0.3815
28136,0.3813
28186,0.3826
28236,0.3821
28286,0.3812
28336,0.3805
28386,0.382
28436,0.3819
28486,0.3825
28536,0.3846
28586,0.384
28636,0.3833
28686,0.3829
28736,0.3827
28786,0.3834
28836,0.383
28886,0.3818
28936,0.3822
28986,0.3814
29036,0.3809
29086,0.3812
29136,0.3813
29186,0.3806
29236,0.3803
29286,0.3798
29336,0.3791
29383,0.1825
29433,0.3417
29483,0.3593
29533,0.3642
29583,0.3545
29633,0.3513
29683,0.3497
29733,0.3565
29783,0.3639
29833,0.365
29883,0.3608
29933,0.3597
29983,0.3558
30033,0.3573
30083,0.3561
30133,0.3588
30183,0.3572
30233,0.3578
30283,0.3588
30333,0.3576
30383,0.3615
30433,0.3606
30483,0.3584
30533,0.3573
30583,0.36
30633,0.3613
30683,0.36
30733,0.3588
30783,0.359
30833,0.3599
30883,0.3581
30933,0.3589
30983,0.3584
31033,0.3577
