Wall time,Step,Value
,17931,0.4233
,17981,0.4218
,18031,0.4222
,18081,0.4217
,18131,0.4214
,18181,0.4206
,18231,0.4205
,18281,0.4198
,18331,0.4208
,18381,0.4207
,18431,0.419
,18481,0.4178
,18531,0.4175
,18581,0.4172
,18631,0.4163
,18681,0.4152
,18731,0.4143
,18781,0.4139
,18831,0.413
,18881,0.4125
,18931,0.4121
,18981,0.4119
,19031,0.4119
,19081,0.4106
,19131,0.411
,19181,0.4107
,19231,0.4107
,19281,0.41
,19331,0.4108
,19381,0.4115
,19431,0.4111
,19481,0.4106
,19531,0.4102
,19581,0.4097
,19631,0.4095
,19641,0.2982
,19691,0.3325
,19741,0.3397
,19791,0.3682
,19841,0.3687
,19891,0.3622
,19941,0.3638
,19991,0.384
,20041,0.3991
,20091,0.4009
,20141,0.3999
,20191,0.397
,20241,0.3992
,20291,0.3996
,20341,0.4024
,20391,0.4025
,20441,0.4023
,20491,0.3989
,20541,0.394
,20591,0.3894
,20641,0.3923
,20691,0.3911
,20741,0.391
,20791,0.3874
,20841,0.3843
,20891,0.3839
,20941,0.3816
,20991,0.3801
,21041,0.3793
,21091,0.3781
,21141,0.3795
,21191,0.3766
,21241,0.3748
,21291,0.3761
,21341,0.3772
,21391,0.3773
,21441,0.3753
,21491,0.3729
,21541,0.3731
,21591,0.3714
,21641,0.3695
,21691,0.3698
,21741,0.3703
,21791,0.3707
,21841,0.3716
,21891,0.3737
,21941,0.3736
,21991,0.3728
,22041,0.3724
,22091,0.372
,22141,0.371
,22191,0.3697
,22241,0.3679
,22291,0.3673
,22341,0.3688
,22391,0.3685
,22441,0.3683
,22491,0.3673
,22541,0.366
,22591,0.3652
,22641,0.364
,22691,0.3639
,22741,0.3625
,22791,0.3606
,22841,0.3617
,22891,0.3615
,22941,0.3609
,22991,0.3604
,23041,0.36
,23091,0.3591
,23141,0.358
,23191,0.3573
,23241,0.3578
,23291,0.3565
,23341,0.3553
,23391,0.3546
,23441,0.3539
,23491,0.3541
,23541,0.3536
,23591,0.3528
,23641,0.353
,23691,0.3531
,23741,0.3526
,23791,0.3516
,23841,0.352
,23891,0.3512
,23941,0.3518
,23991,0.3511
,24041,0.3507
,24091,0.3505
,24141,0.3506
,24191,0.3503
,24241,0.35
,24291,0.3492
,24341,0.3485
,24391,0.3481
,24441,0.3475
,24491,0.3468
,24541,0.3468
,24551,0.2728
,24601,0.3287
,24651,0.2856
,24701,0.2735
,24751,0.2756
,24801,0.2738
,24851,0.2753
,24901,0.2765
,24951,0.2794
,25001,0.2784
,25051,0.2852
,25101,0.2968
,25151,0.2997
,25201,0.2976
,25251,0.306
,25301,0.3129
,25351,0.3165
,25401,0.318
,25451,0.3185
,25501,0.3163
,25551,0.3133
,25601,0.3121
,25651,0.309
,25701,0.3058
,25751,0.3069
,25801,0.3109
,25851,0.3151
,25901,0.3182
,25951,0.316
,26001,0.3153
,26051,0.3157
,26101,0.3141
,26151,0.3129
,26201,0.3118
,26251,0.3169
,26301,0.3182
,26351,0.3174
,26401,0.3165
,26451,0.3166
,26501,0.3169
,26551,0.316
,26601,0.3172
,26651,0.3178
,26701,0.3177
,26751,0.3169
,26801,0.316
,26851,0.3152
,26901,0.3151
,26951,0.3156
,27001,0.3152
,27051,0.3142
,27101,0.3153
,27151,0.3137
,27201,0.3132
,27251,0.3129
,27301,0.3123
,27351,0.3142
,27401,0.316
,27451,0.3178
,27501,0.3181
,27551,0.3194
,27601,0.3195
,27651,0.3187
,27701,0.3192
,27751,0.3192
,27801,0.3191
,27851,0.3187
,27901,0.3188
,27951,0.3183
,28001,0.3187
,28051,0.3186
,28101,0.3176
,28151,0.3173
,28201,0.3174
,28251,0.3165
,28301,0.3158
,28351,0.3161
,28401,0.3163
