Wall time,Step,Value
,18042,0.3941
,18092,0.3952
,18142,0.3969
,18192,0.3971
,18242,0.3974
,18292,0.3971
,18342,0.3961
,18392,0.3952
,18442,0.395
,18492,0.3953
,18542,0.3952
,18592,0.3951
,18642,0.3946
,18692,0.3939
,18742,0.3933
,18792,0.3924
,18842,0.3923
,18892,0.392
,18942,0.3912
,18992,0.392
,19042,0.3929
,19092,0.3925
,19142,0.3923
,19192,0.3928
,19242,0.3928
,19292,0.3924
,19342,0.3917
,19392,0.3914
,19442,0.3912
,19492,0.3909
,19542,0.3909
,19589,0.1756
,19639,0.3675
,19689,0.3761
,19739,0.4314
,19789,0.4194
,19839,0.4231
,19889,0.42
,19939,0.4346
,19989,0.4231
,20039,0.4178
,20089,0.4182
,20139,0.4128
,20189,0.4065
,20239,0.4021
,20289,0.3979
,20339,0.3958
,20389,0.3995
,20439,0.3965
,20489,0.398
,20539,0.3978
,20589,0.3966
,20639,0.3925
,20689,0.3889
,20739,0.3866
,20789,0.3859
,20839,0.3844
,20889,0.3834
,20939,0.3814
,20989,0.3788
,21039,0.3763
,21089,0.3775
,21139,0.3761
,21189,0.3743
,21239,0.3731
,21289,0.3716
,21339,0.3714
,21389,0.3712
,21439,0.3722
,21489,0.3719
,21539,0.3716
,21589,0.3727
,21639,0.372
,21689,0.3717
,21739,0.3698
,21789,0.3715
,21839,0.3707
,21889,0.3704
,21939,0.3707
,21989,0.369
,22039,0.3681
,22089,0.367
,22139,0.3682
,22189,0.3669
,22239,0.3671
,22289,0.3663
,22339,0.3659
,22389,0.3646
,22439,0.3642
,22489,0.364
,22539,0.3634
,22589,0.3621
,22639,0.3606
,22689,0.3597
,22739,0.3589
,22789,0.3595
,22839,0.3588
,22889,0.3587
,22939,0.3598
,22989,0.3592
,23039,0.3584
,23089,0.3583
,23139,0.358
,23189,0.3575
,23239,0.3571
,23289,0.3579
,23339,0.3576
,23389,0.3577
,23439,0.3569
,23489,0.3564
,23539,0.3561
,23589,0.3567
,23639,0.3563
,23689,0.3561
,23739,0.3563
,23789,0.3566
,23839,0.3556
,23889,0.355
,23939,0.3548
,23989,0.3564
,24039,0.3565
,24089,0.3562
,24139,0.3558
,24189,0.3554
,24239,0.3555
,24289,0.3553
,24339,0.3551
,24389,0.3548
,24439,0.3549
,24486,0.2547
,24536,0.283
,24586,0.3209
,24636,0.3189
,24686,0.3143
,24736,0.3156
,24786,0.3207
,24836,0.3259
,24886,0.3237
,24936,0.3217
,24986,0.3312
,25036,0.3294
,25086,0.3326
,25136,0.3278
,25186,0.327
,25236,0.3277
,25286,0.3321
,25336,0.332
,25386,0.334
,25436,0.3351
,25486,0.3344
,25536,0.3373
,25586,0.3371
,25636,0.3398
,25686,0.3379
,25736,0.3389
,25786,0.3388
,25836,0.3381
,25886,0.3387
,25936,0.339
,25986,0.3389
,26036,0.3392
,26086,0.3394
,26136,0.3396
,26186,0.3412
,26236,0.3418
,26286,0.3411
,26336,0.3398
,26386,0.3385
,26436,0.3387
,26486,0.3384
,26536,0.3401
,26586,0.3402
,26636,0.3413
,26686,0.3402
,26736,0.3394
,26786,0.3391
,26836,0.3399
,26886,0.3408
,26936,0.3407
,26986,0.3403
,27036,0.3395
,27086,0.3396
,27136,0.339
,27186,0.339
,27236,0.3388
,27286,0.3402
,27336,0.341
,27386,0.3415
,27436,0.3425
,27486,0.3423
,27536,0.3418
,27586,0.3415
,27636,0.3415
,27686,0.3418
,27736,0.3426
,27786,0.3425
,27836,0.3414
,27886,0.343
,27936,0.3432
,27986,0.3421
,28036,0.3417
,28086,0.3416
,28136,0.3417
,28186,0.3428
,28236,0.343
,28286,0.3427
,28336,0.3429
,28386,0.3435
,28436,0.3431
,28486,0.3441
,28536,0.344
,28586,0.3441
,28636,0.345
,28686,0.3453
,28736,0.3463
,28786,0.3457
,28836,0.3459
,28886,0.3455
,28936,0.3453
,28986,0.3465
,29036,0.3466
,29086,0.3468
,29136,0.348
,29186,0.3485
,29236,0.348
,29286,0.3484
,29336,0.3484
,29383,0.3222
,29433,0.3755
,29483,0.3543
,29533,0.3577
,29583,0.3512
,29633,0.3543
,29683,0.3536
,29733,0.3513
,29783,0.3543
,29833,0.3575
,29883,0.3651
,29933,0.3649
,29983,0.3632
,30033,0.3607
,30083,0.3573
,30133,0.3551
,30183,0.3589
,30233,0.3569
,30283,0.3556
,30333,0.3543
,30383,0.3536
,30433,0.3543
,30483,0.3538
,30533,0.3552
,30583,0.3542
,30633,0.3524
,30683,0.3523
,30733,0.3549
,30783,0.3541
,30833,0.3515
,30883,0.352
,30933,0.3535
,30983,0.3542
,31033,0.3547
,31083,0.3539
,31133,0.3528
,31183,0.3523
,31233,0.3509
,31283,0.3498
,31333,0.3546
,31383,0.3553
,31433,0.3559
,31483,0.3547
,31533,0.354
,31583,0.3535
,31633,0.3538
,31683,0.3549
,31733,0.3547
,31783,0.3542
,31833,0.3526
,31883,0.3523
,31933,0.3516
,31983,0.3516
,32033,0.3505
,32083,0.3502
,32133,0.35
,32183,0.3497
,32233,0.3505
,32283,0.3502
,32333,0.3533
,32383,0.3532
,32433,0.3523
,32483,0.3517
,32533,0.3522
,32583,0.352
,32633,0.3519
,32683,0.3519
,32733,0.3514
,32783,0.3515
,32833,0.3503
,32883,0.3504
,32933,0.351
,32983,0.3513
,33033,0.3518
,33083,0.3515
,33133,0.3514
,33183,0.3515
,33233,0.3503
,33283,0.3501
,33333,0.3487
,33383,0.3484
,33433,0.348
,33483,0.3472
,33533,0.3486
,33583,0.3488
,33633,0.3485
,33683,0.3481
,33733,0.3486
,33783,0.348
,33833,0.3476
,33883,0.3469
,33933,0.3469
,33983,0.3469
,34033,0.3471
,34083,0.3472
,34133,0.3469
,34183,0.3472
,34233,0.3469
,34280,0.7719
,34330,0.4137
,34380,0.3606
,34430,0.3484
,34480,0.3492
,34530,0.3358
,34580,0.3285
,34630,0.3424
,34680,0.3442
,34730,0.3471
,34780,0.3467
,34830,0.3463
,34880,0.3469
,34930,0.343
