Step,Value
20191,0.4294
20241,0.4215
20291,0.4193
20341,0.4206
20391,0.4257
20441,0.4225
20491,0.4229
20541,0.4239
20591,0.4206
20641,0.4165
20691,0.4149
20741,0.4107
20791,0.4063
20841,0.4048
20891,0.4024
20941,0.4024
20991,0.4068
21041,0.4069
21091,0.4042
21141,0.405
21191,0.4063
21241,0.4053
21291,0.4042
21341,0.4028
21391,0.4026
21441,0.403
21491,0.4043
21541,0.4039
21591,0.4059
21641,0.4075
21691,0.408
21741,0.4091
21791,0.4095
21841,0.411
21891,0.4106
21941,0.4088
21991,0.4083
22041,0.4082
22091,0.4072
22141,0.4055
22191,0.4062
22241,0.4056
22291,0.4066
22341,0.4099
22391,0.4105
22441,0.4102
22491,0.4112
22541,0.4124
22591,0.4126
22641,0.4121
22691,0.4138
22741,0.4141
22791,0.414
22841,0.4146
22891,0.4146
22941,0.4144
22991,0.4137
23041,0.4146
23091,0.4144
23141,0.4138
23191,0.414
23241,0.4133
23291,0.4134
23341,0.4126
23391,0.4118
23441,0.411
23491,0.4106
23541,0.4102
23591,0.4098
23641,0.4095
23691,0.4091
23741,0.4089
23791,0.4093
23841,0.4091
23891,0.409
23941,0.4082
23991,0.408
24041,0.407
24091,0.4065
24141,0.4065
24191,0.4067
24241,0.4068
24291,0.4063
24341,0.4055
24391,0.4062
24441,0.4065
24491,0.4058
24541,0.4058
24551,0.1898
24601,0.3675
24651,0.3711
24701,0.3764
24751,0.371
24801,0.3648
24851,0.366
24901,0.3685
24951,0.3728
25001,0.3761
25051,0.3802
25101,0.3775
25151,0.3805
25201,0.3813
25251,0.3803
25301,0.3862
25351,0.3919
25401,0.3886
25451,0.3941
25501,0.392
25551,0.3927
25601,0.3914
25651,0.3941
25701,0.3941
25751,0.3959
25801,0.3998
25851,0.3974
25901,0.397
25951,0.4
26001,0.4004
26051,0.4017
26101,0.4004
26151,0.4005
26201,0.3999
26251,0.4005
26301,0.3986
26351,0.3996
26401,0.4008
26451,0.4007
26501,0.3996
26551,0.3992
26601,0.398
26651,0.3971
26701,0.3963
26751,0.3944
26801,0.3922
26851,0.3939
26901,0.3941
26951,0.3939
27001,0.3926
27051,0.3921
27101,0.3906
27151,0.3906
27201,0.391
27251,0.3891
27301,0.3889
27351,0.3887
27401,0.3868
27451,0.3889
27501,0.3883
27551,0.3887
27601,0.3883
27651,0.3882
27701,0.3885
27751,0.3879
27801,0.389
27851,0.3886
27901,0.3883
27951,0.3885
28001,0.389
28051,0.3891
28101,0.3898
28151,0.3887
28201,0.3889
28251,0.3883
28301,0.3887
28351,0.3889
28401,0.3888
28451,0.3883
28501,0.3883
28551,0.3875
28601,0.3878
28651,0.3874
28701,0.3873
28751,0.3871
28801,0.3871
28851,0.3869
28901,0.3878
28951,0.388
29001,0.3883
29051,0.3882
29101,0.3887
29151,0.3885
29201,0.3883
29251,0.3882
29301,0.3882
29351,0.3888
29401,0.388
29451,0.389
29461,0.2433
29511,0.4284
29561,0.3997
29611,0.3968
29661,0.3991
29711,0.3844
29761,0.3883
29811,0.3874
29861,0.3848
29911,0.3808
29961,0.3759
30011,0.372
30061,0.3685
30111,0.3632
30161,0.3598
30211,0.3661
30261,0.3671
30311,0.3668
30361,0.3648
30411,0.3654
30461,0.3649
30511,0.3693
30561,0.3721
30611,0.3701
30661,0.3706
30711,0.3731
30761,0.3737
30811,0.3731
30861,0.3718
30911,0.3737
30961,0.3762
31011,0.3755
31061,0.3814
31111,0.381
31161,0.3809
31211,0.3818
31261,0.3822
31311,0.3832
31361,0.3843
31411,0.386
31461,0.3839
31511,0.3846
31561,0.3844
31611,0.385
31661,0.3853
31711,0.3843
31761,0.3821
31811,0.3804
31861,0.3823
31911,0.383
31961,0.3832
32011,0.3829
32061,0.3812
32111,0.3819
32161,0.3828
32211,0.3817
32261,0.3814
32311,0.3806
32361,0.3804
32411,0.3807
32461,0.3812
32511,0.3808
32561,0.3809
32611,0.3809
32661,0.3811
32711,0.3823
32761,0.3816
32811,0.381
32861,0.3805
32911,0.3794
32961,0.3794
33011,0.3793
33061,0.3795
33111,0.3802
33161,0.3796
33211,0.3791
33261,0.3785
33311,0.3786
33361,0.3782
33411,0.3782
33461,0.3788
33511,0.3779
33561,0.3778
33611,0.3774
33661,0.3778
33711,0.3783
33761,0.3792
33811,0.3793
33861,0.3786
33911,0.3787
33961,0.3805
34011,0.38
34061,0.38
34111,0.3793
