Step,Value
20307,0.1776
20357,0.1694
20407,0.1669
20457,0.1649
20507,0.1815
20557,0.1823
20607,0.1793
20657,0.1749
20707,0.1718
20757,0.1693
20807,0.1682
20857,0.1667
20907,0.1658
20957,0.165
21007,0.163
21057,0.1619
21107,0.1625
21157,0.1619
21207,0.1619
21257,0.1609
21307,0.1619
21357,0.1612
21407,0.1597
21457,0.1593
21507,0.1588
21557,0.1583
21607,0.1574
21657,0.1563
21707,0.156
21757,0.1559
21807,0.1554
21857,0.1553
21907,0.1551
21957,0.1545
22007,0.1541
22057,0.1537
22107,0.1536
22157,0.1537
22207,0.1537
22257,0.1545
22307,0.1542
22357,0.1538
22407,0.1536
22457,0.1538
22507,0.1537
22557,0.1534
22607,0.1532
22657,0.1528
22707,0.1529
22757,0.1527
22807,0.1528
22857,0.1527
22907,0.1524
22957,0.1521
23007,0.1519
23057,0.1524
23107,0.1526
23157,0.1529
23207,0.1527
23257,0.1525
23307,0.1526
23357,0.1525
23407,0.1528
23457,0.1525
23507,0.1523
23557,0.1522
23607,0.1522
23657,0.1522
23707,0.1522
23757,0.1524
23807,0.1527
23857,0.1527
23907,0.1524
23957,0.1522
24007,0.1522
24057,0.152
24107,0.1519
24157,0.1519
24207,0.1518
24257,0.1516
24307,0.1515
24357,0.1513
24407,0.1512
24457,0.1511
24507,0.1509
24557,0.1508
24607,0.1505
24657,0.1507
24707,0.1507
24757,0.1506
24807,0.1508
24857,0.1512
24907,0.1512
24957,0.1513
25007,0.1513
25057,0.1513
25107,0.1512
25157,0.151
25196,0.4564
25246,0.1464
25296,0.1421
25346,0.1343
25396,0.1398
25446,0.1414
25496,0.1397
25546,0.1384
25596,0.1388
25646,0.1389
25696,0.1412
25746,0.1404
25796,0.1405
25846,0.1401
25896,0.1395
25946,0.1404
25996,0.1421
26046,0.1423
26096,0.1424
26146,0.1426
26196,0.1416
26246,0.1404
26296,0.1397
26346,0.141
26396,0.1418
26446,0.143
26496,0.1441
26546,0.1441
26596,0.1446
26646,0.1443
26696,0.1438
26746,0.1436
26796,0.1438
26846,0.1439
26896,0.1449
26946,0.1447
26996,0.1445
27046,0.1443
27096,0.1435
27146,0.143
27196,0.1428
27246,0.142
27296,0.1424
27346,0.1425
27396,0.1422
27446,0.1419
27496,0.1422
27546,0.1421
27596,0.1422
27646,0.1422
27696,0.1422
27746,0.1418
27796,0.1421
27846,0.1422
27896,0.1422
27946,0.1421
27996,0.1417
28046,0.1418
28096,0.1422
28146,0.1422
28196,0.1419
28246,0.1416
28296,0.1416
28346,0.1416
28396,0.1416
28446,0.1415
28496,0.1412
28546,0.1415
28596,0.1416
28646,0.1415
28696,0.1418
28746,0.1418
28796,0.142
28846,0.1419
28896,0.1418
28946,0.1416
28996,0.1416
29046,0.1417
29096,0.1419
29146,0.1418
29196,0.1419
29246,0.142
29296,0.1421
29346,0.142
29396,0.1434
29446,0.1438
29496,0.1439
29546,0.144
29596,0.1438
29646,0.1438
